year,DDpre,Tpre,DDegg,Tspawn,DDyolk,DDlarv,DDpjuv,DDbjuv,MLDegg,LSTegg,LSTyolk,LSTlarv,LSTpjuv,LSTbjuv,CSTegg,CSTyolk,CSTlarv,CSTpjuv,CSTbjuv,Y_rec,sd
2003,2.82645953569149,7.16465561078425,6.31250048358705,6.24587779293397,5.7662400017994,7.26383969044022,6.97946206391722,7.07311592980751,21.8172543027951,-0.00220368049909276,-0.0113238469327692,-0.034867397043854,-0.0566811907991406,-0.015226477982516,0.00565004201121944,0.00291115781634089,0.0120157401561887,-0.00606422472084242,-0.00177071046529084,-1.01,0.34
2004,2.78699446056978,6.90930625737961,5.89124179244335,6.04517487882359,5.5516777124353,6.80438475070601,7.22900722272793,7.43038321274764,23.1011825666048,0.00318871971531523,-0.00562412531248161,-0.0320621245801674,-0.0610839780209766,-0.0189931815072182,0.00153508259388478,0.000767262526183616,0.00386988236230888,-0.00627189825529292,-0.00269037359789398,0.089,0.19
2005,3.09461797727503,7.21005820651796,6.23107829885457,6.55588117393441,6.02452628552341,7.69952744999633,7.4953457983597,7.04719634271355,18.2635130915307,0.0102278405468075,0.00373271769059146,-0.00192801914020112,-0.0543780278038955,-0.0228659655240655,0.00265174159929501,0.00270966765730792,0.0110577296882477,-0.00170888885885719,-0.00518932410031401,-2.315,0.64
2006,3.12713798876059,6.92814335765463,5.90201144253739,6.28731436141429,5.46357634799698,6.61121678116372,6.65985467600806,6.55023288492214,25.9884047980162,0.0163949428807359,0.0106158815104597,0.00479820496571672,-0.047719381276458,-0.0145952175824292,0.00392160101225723,-0.0003083849381924,0.00398355765707579,-0.0109924225392,-0.00346726555555603,-1.266,0.33
2007,2.83740272837159,6.74169117591958,5.48029147867741,6.13463707866304,5.13576024928345,6.12407632597898,6.75911282806157,6.80024731544655,18.9601873605464,-0.00690915186405126,-0.0144327950888456,-0.0408766515301389,-0.0588391939809005,-0.0209078529186139,0.00442359558972275,0.00427759107846772,0.0154255375297996,0.000391079931549966,-0.000909895282771185,-2.036,0.62
2008,2.88087890295434,6.43765693869262,4.77067823290834,6.16520395235477,4.62696085819111,5.31132663885522,6.29360042973005,6.9509824732843,17.6347313332968,-0.00478840505481506,-0.00688316381986829,-0.0428295900177722,-0.0529189477118874,-0.0130077391029403,0.00782016215777009,0.00420569458995917,0.0114321351922568,-0.00490737631917001,5.55161766476495e-05,1.873,0.12
2009,2.99814062067181,6.73453579994169,4.99047068565496,6.53108534797964,4.80228820999081,5.69285940130274,6.66423831711042,7.2423572567111,16.3511493452912,-0.00904853785973516,-0.00725484566658071,-0.0323831534572697,-0.0549997685987863,-0.013480662147727,0.00397062200533029,0.0033909343836065,0.00668576862212393,-0.00283133010229757,0.00382970630678651,-0.701,0.56
2010,2.72784609784742,7.15921035836193,6.07352997791881,6.29335756210965,5.63295205509147,7.12028584817169,6.82409625962166,6.95314532248793,23.6675576299775,0.0141719818050465,-0.00138103254908403,-0.00584035668702374,-0.0618133211733714,-0.0201025875048756,0.00948348366953402,0.00805290668853711,0.0192086636454933,-0.00136171620218983,0.00191585000930076,0.851,0.15
2011,2.64649114714442,6.5647965255702,5.29526678046887,5.98484777848856,4.93256795647053,5.94403492432718,6.74993701054062,7.16400294620918,24.0595480952848,0.00452075100208131,0.00207269876746175,-0.0161492753672534,-0.0528029773759866,-0.016644213051425,0.0041127044516533,0.00211989646228238,0.0146367325073844,-0.00219359170164793,0.00251287972389272,0.254,0.23
2012,3.01094777071113,6.29803189663672,4.99786810816451,5.99967161314265,4.92412226737607,5.80996316336279,6.76340675500797,6.87943227615967,19.5256118529812,-0.00969490364128436,-0.0103173960887657,-0.0249081183433338,-0.0456925584619204,-0.0106464140872605,0.00505263297283647,0.00261487228720209,0.0151269668300125,-0.000696708036646735,0.000715193936326223,-0.512,0.37
2013,2.74113232395665,6.52230934452609,5.11300950200685,5.89624092192543,4.89429515617398,5.76761760054745,6.9349245311783,7.49922170699073,16.7815398248015,-0.0117869239462768,-0.0154803439255848,-0.0524364599222017,-0.0565961327599061,-0.0154042954596998,0.00144690363154493,0.0012789375354996,0.00696880318554902,-0.00221382252000753,0.00420091136163332,1.704,0.12
2014,3.39651846938201,6.65594903643355,5.52236063489051,6.24459074189361,5.52553017421697,6.7710267218782,7.74785103520258,8.40853651006496,14.4422287131061,0.00270991225114442,-0.00027968633985867,-0.0163569365958533,-0.048042680582993,-0.00853730703572288,0.00240047959719965,0.00159892190716487,0.0108768336846673,-0.00592265821572752,0.000949033585180055,0.053,0.25
2015,3.30105608634963,7.24244391966004,6.94304803090307,6.27228413886798,6.13734769458668,7.52939843096214,7.66752708237823,8.37403367897194,17.3177706032822,-0.00672172988812274,-0.0132669520297065,-0.0491357231493889,-0.062932858236074,-0.0146683855469306,0.0026938604365434,-0.00215249487014577,-0.00580251619647889,-0.0113823703324963,0.00466036158037296,1.389,0.14
2016,3.13768183742942,7.56733693447864,6.77341303285655,6.42066757777031,6.19819506601172,7.83156288656478,7.81789640903042,8.14675253033822,21.8645693021672,0.004189346655762,-0.00598260780386286,-0.0214892454049174,-0.0578880994009876,-0.0112751572169055,0.0058289882443334,0.00162552060805954,0.00732275021296266,0.0012160641546812,0.011796150539872,2.262,0.12
2017,3.20420315809034,7.11303273197396,6.1031466457651,6.3067073818493,5.77697164712904,7.17840159244109,7.40662863045758,7.50441875749952,23.6387557852801,0.0179285261627709,0.00883506848702639,0.00311999459236471,-0.046172683528294,-0.015242448548929,0.00167979256543651,0.001649219450586,0.0131140373207839,-0.002868444547658,0.000687830576180535,0.645,0.24
2018,3.09702080570244,7.0468099617789,5.91833100589532,6.30496217244965,5.48062889594585,6.69701019066532,7.18612571193666,7.45965405533668,18.7917413197675,0.00012584852163613,-0.00693576125096074,-0.0442992162237305,-0.054945179845597,-0.0126181053299501,0.00463093478202464,0.0016796179658942,0.0052690575736755,-0.00675901304479809,-0.0023787390464059,-0.561,0.42
2019,3.10165596185306,7.27835535034274,6.40314300422149,6.32463760072721,5.94097709250278,7.12011279944783,7.86095159864016,8.13400635054079,20.9634072570567,0.00584702921357258,-0.00260257288791621,-0.0309272175100857,-0.0596012706958479,-0.0160151983490352,-0.000806787503996695,-0.00468467119629562,-0.00912709555479759,-0.0114999650406741,-0.00114872590147066,0.681,0.31
2020,3.14556641075934,6.92656644743641,5.64442194817378,6.1034326588694,5.34120337532458,6.73699557881087,7.52187587444916,7.60865259252794,17.1578577732426,-0.00293463203603353,-0.00793321253451107,-0.0465078087572399,-0.0586117326387114,-0.0204035109962797,-0.000479190011487939,-0.0020065020005735,-0.0034556366670351,-0.00746463051726742,-0.00268425865628686,3.078,0.18
2021,3.1321451725606,6.87221755659644,5.46378704912105,5.91999064876782,4.9732350298705,5.84288801348444,7.20181123637474,7.74565361696601,16.8405300523135,-0.00869612312702377,-0.0177212344784031,-0.0643245268785845,-0.0633547027940832,-0.0173571332868397,0.00547188011399466,0.00249577810387291,0.00178896302860531,-0.00557144924006878,0.00213010043602582,2.904,0.27
2022,3.00273244365417,6.76671056260507,5.47923566268221,6.2163039895161,5.18799998414918,6.07799244068218,7.102644169916,7.16267322958754,17.1418783392817,-0.0071127835182878,-0.0134641423987452,-0.0441929244393137,-0.0506378860242905,-0.012882262049756,0.000786610463247819,0.000252587663383269,0.00276958549699385,-0.00346532752436976,-0.00375371778734036,-0.687,1.17
2023,3.38139325983268,6.84755143428366,5.45540399441991,6.29622710103463,4.94719547093488,5.97537191484731,7.60879410305346,8.33801930384102,23.3063497781065,0.0124097720890338,0.00621839628773369,-0.00880052904493265,-0.0397612369273819,-0.00642467998360896,0.00241034262100595,0.000326784039563152,0.00567438152727609,-0.00676920228908139,-0.000371298719160272,,
2024,2.9754751728328,7.37018482321131,6.58655665263714,6.18031593752715,5.87218471779444,7.31275333802592,7.32360717738459,7.4394534009964,23.8518096434574,0.00062397543453378,-0.00728794405002484,-0.0328678501471352,-0.0657438590732073,-0.0185811429827853,0.00520987271021768,0.000285486056595104,9.47550494944877e-05,-0.00750489526037727,0.000431136834843168,,
