variable,name,value,year,month,Model
LST,lst_0_180,0.122138646179086,2023,12,GLORYS
LST,lst_0_90,0.103189447909785,2023,12,GLORYS
LST,lst_30_130,0.122223993338234,2023,12,GLORYS
LST,lst_180_549,0.0991954336652002,2023,12,GLORYS
LST,lst_90_180,0.0434880835427021,2024,1,GLORYS
LST,lst_0_180,0.0378813516902045,2024,1,GLORYS
LST,lst_0_90,0.0325578849719917,2024,1,GLORYS
LST,lst_30_130,0.0346435375515628,2024,1,GLORYS
LST,lst_180_549,0.0224310477223306,2024,1,GLORYS
LST,lst_90_180,0.0105525550030241,2024,2,GLORYS
LST,lst_0_180,0.0129221599095664,2024,2,GLORYS
LST,lst_0_90,0.0153206626631214,2024,2,GLORYS
LST,lst_30_130,0.0114794288583215,2024,2,GLORYS
LST,lst_180_549,0.00178827438676599,2024,2,GLORYS
LST,lst_90_180,-0.0477804509146094,2024,3,GLORYS
LST,lst_0_180,-0.0376456481652265,2024,3,GLORYS
LST,lst_0_90,-0.0275922219402922,2024,3,GLORYS
LST,lst_30_130,-0.0380156343909332,2024,3,GLORYS
LST,lst_180_549,-0.0500333843803009,2024,3,GLORYS
LST,lst_90_180,-0.0970096524752682,2024,4,GLORYS
LST,lst_0_180,-0.0905416312393705,2024,4,GLORYS
LST,lst_0_90,-0.0837093246578768,2024,4,GLORYS
LST,lst_30_130,-0.0970294495535798,2024,4,GLORYS
LST,lst_180_549,-0.0487857352579143,2024,4,GLORYS
LST,lst_90_180,-0.123246199371271,2024,5,GLORYS
LST,lst_0_180,-0.114158786935651,2024,5,GLORYS
LST,lst_0_90,-0.104376805448184,2024,5,GLORYS
LST,lst_30_130,-0.118986084422108,2024,5,GLORYS
LST,lst_180_549,-0.055025614452986,2024,5,GLORYS
LST,lst_90_180,-0.0853404742037908,2024,6,GLORYS
LST,lst_0_180,-0.0721785908958306,2024,6,GLORYS
LST,lst_0_90,-0.0584965573333249,2024,6,GLORYS
LST,lst_30_130,-0.0709959593930549,2024,6,GLORYS
LST,lst_180_549,-0.0311328274624453,2024,6,GLORYS
LST,lst_90_180,-0.0287598880925938,2024,7,GLORYS
LST,lst_0_180,-0.0312089513337169,2024,7,GLORYS
LST,lst_0_90,-0.0332644197191844,2024,7,GLORYS
LST,lst_30_130,-0.0290878421767853,2024,7,GLORYS
LST,lst_180_549,0.0074444198735132,2024,7,GLORYS
LST,lst_90_180,-0.0159631304835682,2024,8,GLORYS
LST,lst_0_180,-0.018994728545636,2024,8,GLORYS
LST,lst_0_90,-0.0218445349831806,2024,8,GLORYS
LST,lst_30_130,-0.0188161046276559,2024,8,GLORYS
LST,lst_180_549,0.0126327253001838,2024,8,GLORYS
LST,lst_90_180,-0.0216805448048666,2024,9,GLORYS
LST,lst_0_180,-0.0166240208383147,2024,9,GLORYS
LST,lst_0_90,-0.0113297648071377,2024,9,GLORYS
LST,lst_30_130,-0.0132926513268182,2024,9,GLORYS
LST,lst_180_549,0.00462272264211251,2024,9,GLORYS
LST,lst_90_180,0.0407065512083822,2024,10,GLORYS
LST,lst_0_180,0.037042406940283,2024,10,GLORYS
LST,lst_0_90,0.0334454838445588,2024,10,GLORYS
LST,lst_30_130,0.0411792179865276,2024,10,GLORYS
LST,lst_180_549,0.0523043825846318,2024,10,GLORYS
LST,lst_90_180,0.0716036996476354,2024,11,GLORYS
LST,lst_0_180,0.0648537353551368,2024,11,GLORYS
LST,lst_0_90,0.0579493123079618,2024,11,GLORYS
LST,lst_30_130,0.0669911458345657,2024,11,GLORYS
LST,lst_180_549,0.0418810784799017,2024,11,GLORYS
LST,lst_90_180,0.0796168583339481,2024,12,GLORYS
LST,lst_0_180,0.0620394132256589,2024,12,GLORYS
LST,lst_0_90,0.0443952612687031,2024,12,GLORYS
LST,lst_30_130,0.0566868399847787,2024,12,GLORYS
LST,lst_180_549,0.0571431919741822,2024,12,GLORYS
LST,lst_90_180,-0.00364444336121522,2025,1,GLORYS
LST,lst_0_180,-0.0149910403677779,2025,1,GLORYS
LST,lst_0_90,-0.0261917225274482,2025,1,GLORYS
LST,lst_30_130,-0.0210491808819252,2025,1,GLORYS
LST,lst_180_549,0.0146128095738503,2025,1,GLORYS
LST,lst_90_180,0.00485353860907386,2025,2,GLORYS
LST,lst_0_180,0.0181503423642495,2025,2,GLORYS
LST,lst_0_90,0.0314288443692688,2025,2,GLORYS
LST,lst_30_130,0.0169669972202043,2025,2,GLORYS
LST,lst_180_549,0.0113462785782468,2025,2,GLORYS
LST,lst_90_180,0.0109123137246899,2025,3,GLORYS
LST,lst_0_180,0.00856550191471554,2025,3,GLORYS
LST,lst_0_90,0.00625481762389409,2025,3,GLORYS
LST,lst_30_130,0.00549904066812444,2025,3,GLORYS
LST,lst_180_549,0.0013007859517124,2025,3,GLORYS
CST,cst_90_180,-0.0123550695404797,1993,1,GLORYS
CST,cst_0_180,-0.0071325801491169,1993,1,GLORYS
CST,cst_0_90,-0.00199019422177364,1993,1,GLORYS
CST,cst_30_130,-0.00383098908903636,1993,1,GLORYS
CST,cst_180_549,-0.0209589624275737,1993,1,GLORYS
CST,cst_90_180,0.00526711299088543,1993,2,GLORYS
CST,cst_0_180,0.00349928814471558,1993,2,GLORYS
CST,cst_0_90,0.00172409315132596,1993,2,GLORYS
CST,cst_30_130,0.00451535837180248,1993,2,GLORYS
CST,cst_180_549,0.00566081934961703,1993,2,GLORYS
CST,cst_90_180,0.0175623720409599,1993,3,GLORYS
CST,cst_0_180,0.0185575542986941,1993,3,GLORYS
CST,cst_0_90,0.0194197456471265,1993,3,GLORYS
CST,cst_30_130,0.0202959777617091,1993,3,GLORYS
CST,cst_180_549,0.0144494058826441,1993,3,GLORYS
CST,cst_90_180,0.0342667253877649,1993,4,GLORYS
CST,cst_0_180,0.0323238937530091,1993,4,GLORYS
CST,cst_0_90,0.0302056311884396,1993,4,GLORYS
CST,cst_30_130,0.0338988163260089,1993,4,GLORYS
CST,cst_180_549,0.0373731604306111,1993,4,GLORYS
