year,month,MLD_90_180,MLD_0_180,MLD_0_90,MLD_30_130,MLD_180_550,T_90_180,T_0_180,T_0_90,T_30_130,T_180_550,XV_90_180,XV_0_180,XV_0_90,XV_30_130,XV_180_550,YV_90_180,YV_0_180,YV_0_90,YV_30_130,YV_180_550
1995,9,5.6723585,5.57329,5.4634542,5.5288095,6.2518525,9.019669,9.21526,9.580337,9.276052,8.905481,-0.0048444234,-0.005684368,-0.007502558,-0.0058816574,0.0015950084,-0.011990114,-0.010319636,-0.0067036343,-0.00866014,-0.0127768135
1995,10,6.912014,6.523231,6.0921884,6.417166,8.590361,9.201659,9.467507,9.963714,9.559635,8.935741,-0.00077515934,-0.0009616653,-0.0013653868,-0.00040392234,-0.0029065397,-0.018659025,-0.011704179,0.0033506935,-0.005476127,-0.0031452405
1995,11,9.9023285,9.169244,8.356477,8.860469,12.998702,9.440981,9.64657,10.030307,9.779231,8.911747,0.0046721995,0.0043498985,0.003652224,0.00560027,-1.35308355e-05,0.045426786,0.049593985,0.058614515,0.052172683,0.023548411
1995,12,11.852928,10.382806,8.75289,9.631156,20.314001,10.675228,10.794063,11.0158615,10.94055,9.507604,0.0016038215,0.0008256205,-0.0008589201,0.00079449615,-0.0027440034,0.11029102,0.103087574,0.087494515,0.097530685,0.09223468
1996,1,9.777812,8.717207,7.5413203,8.374029,15.382325,10.459326,10.525466,10.648922,10.630755,9.391059,0.0023589323,0.0013751523,-0.00075439806,0.0019089684,-0.0012035172,0.018953692,0.021379583,0.026630813,0.021750636,0.020246694
1996,2,10.201584,9.491416,8.704055,8.932029,14.729806,10.060544,10.062755,10.066892,10.14946,9.080252,-0.0011433688,-1.6611975e-05,0.0024224347,0.00071852404,-0.0018230769,0.104715206,0.095550105,0.07571078,0.085090205,0.0997561
1996,3,7.465387,7.2235336,6.95539,7.1738844,8.583768,9.7684765,9.832888,9.953115,9.916402,9.012703,0.00077583536,0.0017940322,0.003998082,0.0023507376,-0.0021086654,-0.03979083,-0.039156843,-0.037784476,-0.040653218,-0.011519438
1996,4,9.840124,8.745559,7.5320196,8.354494,12.56436,9.790585,9.944458,10.231659,10.061519,8.99205,0.0015011781,0.000109299486,-0.0029036412,-0.00058057165,0.0020864138,0.0035274117,0.013712817,0.035760738,0.017048398,-0.0040991292
1996,5,7.981171,7.696386,7.380647,7.8119245,8.002448,9.521969,9.700155,10.032742,9.8001375,8.971951,1.7480002e-05,0.0011166254,0.0034958983,0.0018850962,-0.0037818076,-0.10188583,-0.0930188,-0.07382471,-0.089220226,-0.06464212
1996,6,6.151181,6.0790024,5.998978,6.177127,6.6720695,8.638176,8.730868,8.903883,8.780365,8.613219,-0.0049702977,-0.0013729223,0.00641417,-0.00012747468,0.0011460092,-0.14728503,-0.13371782,-0.104349524,-0.12694556,-0.1219615
1996,7,6.240287,6.0377827,5.813266,5.996054,7.0448704,8.348268,8.411079,8.528315,8.456677,8.464465,-0.005532338,-0.0037946415,-3.3126882e-05,-0.0039788797,-0.0038191925,-0.078160256,-0.071457885,-0.056949522,-0.06855802,-0.06706854
1996,8,6.319019,6.069487,5.792832,6.0290923,6.789535,8.352807,8.36428,8.385689,8.361629,8.4445915,-0.004091739,-0.0039962847,-0.0037896582,-0.007016804,-0.0028112447,-0.044099562,-0.040020768,-0.031191558,-0.040904995,-0.04378536
1996,9,6.047284,5.8400607,5.610313,5.7738376,6.9113817,8.833141,8.950123,9.168462,9.000676,8.703636,-0.0017362443,-0.0014722977,-0.0009009386,-0.0016413586,0.0006119162,-0.02314866,-0.015864456,-9.663989e-05,-0.011878926,-0.023895515
1996,10,8.044256,7.592667,7.0919905,7.408746,9.987764,9.274902,9.480751,9.864966,9.602789,8.876442,-0.0008968404,-0.0007201814,-0.00033777527,-0.0014940383,0.0017049266,0.0014325578,0.011073985,0.031944383,0.0145811355,0.0060245576
1996,11,8.132153,7.53034,6.863114,7.3479805,9.820974,9.351617,9.500685,9.77892,9.605799,8.869079,0.0032841314,0.0025705695,0.0010259516,0.0017136724,-0.00041098,0.029152557,0.0313963,0.036253244,0.033084616,0.020825107
1996,12,10.843037,9.373825,7.744917,8.4914,16.703096,9.736091,9.796002,9.9078245,9.901378,8.885594,0.0004022428,-0.0008445159,-0.0035433224,-0.0010366057,0.0006576287,0.11902623,0.119664304,0.12104556,0.11781488,0.079466075
1997,1,9.872152,8.975069,7.9804773,8.522598,14.070619,9.797872,9.750784,9.662908,9.787342,9.066341,-0.0048260195,-0.002880461,0.0013310075,-0.001809925,-0.0032984721,0.07613691,0.06753918,0.048927993,0.059204657,0.08159475
1997,2,7.5705757,7.2252703,6.8424306,7.0867844,9.6564045,9.512799,9.488272,9.4424925,9.52963,8.8939085,-0.0028462089,-0.0010795455,0.00274468,-6.0899525e-05,-0.0011019926,-0.035253834,-0.035707083,-0.036688212,-0.039100666,-0.018069968
