hours_since_20110102,year,month,day,temp_surface_40_47N_0_300km,temp_bottom_40_47N_50_1200m,temp_bottom_40_47N_300_500m,temp_bottom_40_47N_0_250m,temp_300_500m_40_47N_300_500m,temp_300_825m_40_47N_500m_300km,temp_1000_1200m_40_47N_1000m_300km,mld_40_47N_500m_300km,ualong_1000_1200m_40_47N_1000m_300km,ualong_surface_40_47N_0_300km,ualong_bottom_40_47N_0_250m,ucross_300_825m_40_47N_500m_300km,ucross_1000_1200m_40_47N_1000m_300km,ucross_surface_40_47N_0_300km,ucross_bottom_40_47N_0_250m
15336,2012,10,2,14.395,6.6066,6.6757,8.2182,6.6723,4.9741,3.1983,28.892,-0.00109,-0.08117,0.14468,-0.00184,0.00231,-0.11651,-0.03115
15360,2012,10,3,13.725,6.385,6.5536,7.8454,6.5626,4.9504,3.1928,28.744,-0.00589,-0.06521,0.09666,0.00259,0.002,-0.16348,-0.02426
15384,2012,10,4,13.488,6.3758,6.5498,7.8238,6.5694,4.9449,3.1881,30.076,-0.00302,-0.0658,0.07976,-0.00224,-0.00014,-0.11999,-0.01742
15408,2012,10,5,13.382,6.3994,6.6023,7.8376,6.6156,4.944,3.1872,30.399,-0.00437,-0.03103,0.11496,-0.00372,0.00259,-0.07817,-0.03373
15432,2012,10,6,13.401,6.4572,6.6604,7.9035,6.6689,4.9453,3.187,30.031,-0.00285,-0.00146,0.17924,0.00107,-0.00149,-0.01997,-0.05084
15456,2012,10,7,13.849,6.2728,6.6022,7.5536,6.5966,4.9368,3.1848,27.168,-0.00273,-0.02176,0.21181,-0.00382,0.00242,-0.00835,-0.06116
15480,2012,10,8,13.881,6.3048,6.6221,7.5914,6.6209,4.9395,3.1849,26.661,-0.00629,-0.02722,0.21443,-0.00159,8e-05,-0.00291,-0.05932
15504,2012,10,9,13.942,6.349,6.6609,7.6483,6.6572,4.9413,3.1853,26.138,-0.00422,-0.01354,0.20632,0.00022,0.00079,-0.00455,-0.05731
15528,2012,10,10,13.936,6.3981,6.7164,7.7057,6.7077,4.9445,3.1854,25.691,-0.00848,-0.03777,0.20183,-0.004,0.00111,-0.0102,-0.05405
15552,2012,10,11,13.932,6.2853,6.6666,7.4985,6.6584,4.9425,3.1835,25.564,-0.00913,-0.0484,0.19884,-0.00075,0.00156,-0.0316,-0.04942
15576,2012,10,12,13.865,6.3028,6.6853,7.5293,6.6864,4.943,3.1829,25.563,-0.00917,-0.00579,0.17002,0.00229,0.00129,0.00501,-0.04433
15600,2012,10,13,13.933,6.3115,6.6809,7.5608,6.6969,4.9395,3.18,24.87,-0.00752,-0.00173,0.14958,-0.00446,0.00368,0.07948,-0.04064
15624,2012,10,14,14.078,6.3096,6.6668,7.5982,6.7007,4.9363,3.1768,23.293,-0.01061,-0.00944,0.12329,0.00443,0.00201,0.09332,-0.03592
15648,2012,10,15,13.928,6.6314,6.818,8.2156,6.8733,4.9544,3.1814,24.381,-0.00843,-0.00358,0.15399,-0.00403,-0.00098,0.13466,-0.04361
15672,2012,10,16,14.064,6.6728,6.8296,8.3043,6.8952,4.9549,3.1814,23.426,-0.00706,-0.04062,0.15076,0.00168,0.00346,0.03192,-0.02931
15696,2012,10,17,14.023,6.6781,6.7877,8.3561,6.879,4.952,3.1802,23.072,-0.01189,-0.02814,0.11146,-0.00037,0.00084,-0.01717,-0.02331
15720,2012,10,18,13.879,6.6512,6.7304,8.3743,6.8462,4.9475,3.1778,23.202,-0.0069,-0.04846,0.06016,0.00074,0.00203,-0.04156,-0.00993
15744,2012,10,19,13.868,6.6039,6.644,8.3945,6.7818,4.9332,3.1757,23.262,-0.00819,-0.04577,0.04484,-0.00129,0.00121,-0.00056,-0.01036
15768,2012,10,20,13.857,6.6077,6.6339,8.4078,6.7763,4.9336,3.1767,23.504,-0.00414,-0.0396,0.0731,-0.00033,-0.0009,0.01635,-0.01713
15792,2012,10,21,13.736,6.6383,6.6303,8.4819,6.7698,4.9341,3.1772,24.122,-0.00098,-0.06149,0.10069,-0.00404,-0.00114,0.03436,-0.02772
15816,2012,10,22,13.572,6.6394,6.6026,8.5293,6.7443,4.9315,3.1768,24.801,-3e-05,-0.05119,0.08068,0.00025,0.00148,0.01526,-0.01697
15840,2012,10,23,13.614,6.7694,6.6641,8.7887,6.8044,4.9365,3.179,26.437,0.00204,-0.02886,0.10476,-0.00171,-0.0019,0.05325,-0.0286
15864,2012,10,24,13.475,6.8176,6.689,8.8704,6.8171,4.9387,3.1803,26.62,0.00826,-0.02731,0.13795,-0.00442,-0.00215,0.05353,-0.0315
15888,2012,10,25,13.351,6.8701,6.71,8.9794,6.82,4.9381,3.18,26.826,0.00496,0.01443,0.16256,-0.00184,0.00025,0.02332,-0.02999
15912,2012,10,26,13.287,6.8923,6.7047,9.0153,6.8137,4.9374,3.1801,27.019,0.00648,0.01765,0.12535,-0.00143,-0.00333,0.03614,-0.02147
15936,2012,10,27,12.999,7.0142,6.7173,9.2653,6.8494,4.9503,3.1807,27.391,0.00475,-0.00506,0.08057,-0.00341,0.00234,0.04544,-0.01351
15960,2012,10,28,13.04,7.0057,6.6773,9.28,6.8292,4.9483,3.1796,26.863,0.00469,-0.00975,0.05903,0.00091,-0.00192,0.04789,-0.00534
15984,2012,10,29,13.109,7.0056,6.6508,9.3005,6.8213,4.9467,3.1775,26.004,0.0057,-0.00487,0.05775,-0.004,0.00077,0.06501,-0.01092
16008,2012,10,30,13.186,6.9931,6.6035,9.3055,6.7973,4.9429,3.1751,24.908,-0.00055,-0.00528,0.04211,0.00309,0.00209,0.08964,-0.00452
16032,2012,10,31,13.575,7.2359,6.7007,9.766,6.9108,4.9383,3.1729,23.316,0.00424,0.03501,0.04469,-0.00408,0.00118,0.12427,-0.01153
16056,2012,11,1,13.637,7.2859,6.704,9.8605,6.9317,4.9374,3.1711,22.122,0.00349,0.04876,0.08327,0.00079,-0.00044,0.12805,-0.02577
16080,2012,11,2,13.659,7.3564,6.743,9.9684,6.966,4.9383,3.1704,21.619,0.00518,0.01969,0.11918,-0.00446,-0.00039,0.09283,-0.02287
16104,2012,11,3,13.688,7.3929,6.7669,10.026,6.9836,4.9368,3.1688,21.377,0.00241,0.07707,0.12134,-0.00028,-0.00016,0.05956,-0.01457
16128,2012,11,4,13.402,6.8821,6.5875,9.1006,6.7508,4.9527,3.171,23.19,0.00515,0.0053,0.11116,-0.00588,-0.00316,0.06609,-0.02224
16152,2012,11,5,13.464,6.8836,6.5902,9.0706,6.7307,4.9561,3.1734,23.134,0.00284,0.00951,0.08754,-0.00309,-0.00075,-0.01139,-0.00534
16176,2012,11,6,13.481,6.905,6.6417,9.0711,6.7534,4.9617,3.1777,22.994,0.00536,0.02278,0.10765,-0.00607,-0.0043,-0.01152,-0.0168
16200,2012,11,7,13.423,6.8899,6.6413,9.0407,6.7305,4.9631,3.1797,23.122,0.0064,-0.01849,0.06943,-0.00035,0.00075,-0.0346,-0.00144
16224,2012,11,8,13.501,7.0159,6.6633,9.2575,6.7768,4.9541,3.1767,24.426,-0.0019,-0.06926,0.00502,-0.00152,0.00548,-0.04267,0.01241
16248,2012,11,9,13.285,6.9434,6.5901,9.1766,6.7286,4.9485,3.1735,25.828,-0.00073,-0.09473,-0.03737,0.00239,-0.0002,-0.05121,0.01786
16272,2012,11,10,13.045,6.9004,6.5626,9.0964,6.7289,4.9438,3.1699,26.961,0.00403,-0.08319,-0.02766,-0.00098,0.00467,-0.0592,0.01428
16296,2012,11,11,12.87,6.8832,6.5484,9.0719,6.7304,4.9443,3.1695,27.63,-0.00233,0.00056,0.01161,0.00036,0.00181,0.00296,-0.00246
16320,2012,11,12,13.052,7.0919,6.6673,9.4108,6.8503,4.9668,3.1725,27.501,0.0014,0.00847,0.07617,-0.00121,0.00091,0.06882,-0.03232
16344,2012,11,13,13.007,7.1501,6.6658,9.5281,6.8402,4.9684,3.1725,27.358,-0.00058,0.02311,0.06809,0.00095,0.00124,0.03616,-0.00988
16368,2012,11,14,12.959,7.1598,6.6445,9.5758,6.8315,4.9658,3.1713,27.265,0.00226,-0.0031,0.04375,-0.00353,0.00127,0.01091,-0.00829
16392,2012,11,15,12.912,7.1415,6.6127,9.563,6.8028,4.9661,3.1717,27.678,0.00135,-0.01024,0.01338,0.00122,0.00104,-0.03929,0.00252
16416,2012,11,16,12.931,6.9979,6.5532,9.2984,6.734,4.9634,3.1711,30.412,0.00419,-0.02772,0.02397,-0.00529,-0.0024,-0.00176,-0.00606
16440,2012,11,17,12.878,7.0217,6.5663,9.3347,6.7345,4.9664,3.1726,30.698,0.00421,0.03058,0.05469,-0.00205,0.0011,0.01327,-0.01363
16464,2012,11,18,12.877,7.1039,6.6208,9.4499,6.7747,4.9718,3.1763,31.361,0.00453,0.05342,0.10372,-0.0019,-0.00322,0.15989,-0.02542
16488,2012,11,19,12.842,7.2492,6.6936,9.686,6.8228,4.9772,3.1783,31.631,0.01254,0.05981,0.191,-0.00603,-0.00125,0.16632,-0.05726
16512,2012,11,20,12.634,7.3314,6.7306,9.7865,6.8314,4.9828,3.1801,32.828,0.00947,0.10924,0.25564,-0.00089,0.00027,0.1813,-0.03895
16536,2012,11,21,12.567,7.4775,6.7638,10.052,6.8592,4.9847,3.1805,32.826,0.01127,0.00651,0.21007,-0.00172,-0.00199,0.13254,-0.033
16560,2012,11,22,12.452,7.4989,6.7572,10.099,6.8526,4.9864,3.1818,33.493,0.00795,0.03559,0.09564,-0.00433,-0.00043,0.03962,-0.00406
16584,2012,11,23,12.362,7.4774,6.7423,10.07,6.8372,4.9871,3.1818,33.583,0.00578,0.08342,0.04857,-0.00065,-0.00221,0.05794,-0.00289
16608,2012,11,24,12.207,7.3658,6.703,9.8323,6.8112,4.9932,3.1836,33.756,0.00464,0.02822,0.01242,-0.00182,-0.00022,0.0325,0.00112
16632,2012,11,25,12.145,7.3118,6.6569,9.7501,6.7805,4.9921,3.1821,33.74,0.00476,0.00241,-0.02547,-0.00081,0.0013,-0.02004,0.0168
16656,2012,11,26,12.079,7.2814,6.6704,9.6925,6.7996,4.9948,3.1834,34.686,0.00202,0.02038,-0.0195,-0.00048,-0.00137,-0.0496,0.01141
16680,2012,11,27,12.005,7.2875,6.6904,9.6756,6.809,4.9985,3.1851,35.543,0.00284,0.0533,0.00964,-0.00192,0.00109,0.01351,0.0008
16704,2012,11,28,12.267,7.3951,6.7556,9.8806,6.865,4.9951,3.1854,37.428,0.00092,0.10819,0.00956,-0.00036,0.00245,0.0652,0.00283
16728,2012,11,29,12.296,7.4625,6.8129,9.9491,6.9248,5,3.1864,36.96,0.0033,0.19371,0.03773,-0.00171,-0.0003,0.14193,-0.02589
16752,2012,11,30,12.328,7.6462,6.9316,10.216,7.026,5.0075,3.1887,36.419,0.0035,0.12422,0.12647,-0.00051,0.0013,0.19127,-0.04102
16776,2012,12,1,12.325,7.8521,7.0452,10.546,7.1179,5.0115,3.1882,35.844,-0.00044,0.10547,0.18665,0.00154,0.00394,0.13158,-0.04131
16800,2012,12,2,12.19,7.9825,7.1158,10.731,7.1908,5.0139,3.187,35.608,0.00169,0.02925,0.14889,0.00238,0.00336,0.10638,-0.02466
16824,2012,12,3,12.12,7.9326,7.0414,10.71,7.1411,5.0086,3.1825,35.437,-0.00502,0.07064,0.06217,0.00435,0.00725,0.07026,0.00029
16848,2012,12,4,12.076,7.8711,6.986,10.65,7.1264,5.0037,3.1798,34.928,-0.00755,0.06222,0.0247,0.00107,0.00066,0.13834,-0.01803
16872,2012,12,5,12.035,7.871,6.9667,10.666,7.1376,5.0042,3.1787,34.304,-0.0051,0.02106,0.03141,0.00169,0.00415,0.04798,-0.01012
16896,2012,12,6,11.782,7.7395,6.9215,10.373,7.0663,5.0035,3.179,31.173,-0.00641,0.0207,0.03978,0.00026,0.00214,0.00126,-0.00802
16920,2012,12,7,11.684,7.6952,6.8852,10.3,7.029,5.0031,3.1785,32.65,-0.00436,0.00367,0.00456,0.00107,0.00315,0.01831,0.00255
16944,2012,12,8,11.593,7.571,6.7824,10.142,6.9498,4.9986,3.1768,33.895,-0.0083,-0.02411,-0.06247,0.0048,0.00424,-0.01082,0.02093
16968,2012,12,9,11.508,7.4285,6.6778,9.9429,6.8754,4.9932,3.1732,34.856,-0.00466,-0.01226,-0.08962,-0.00059,0.00149,-0.01984,0.02431
16992,2012,12,10,11.55,7.195,6.5665,9.521,6.745,5.0065,3.1813,38.554,0.00171,0.0008,0.00174,-0.00484,-0.00392,-0.01436,-0.00393
17016,2012,12,11,11.526,7.3335,6.7064,9.6205,6.8432,5.0304,3.1954,39.287,0.0103,0.05188,0.16656,-0.01111,-0.00943,-0.02906,-0.03168
17040,2012,12,12,11.498,7.4642,6.8314,9.7256,6.8857,5.0468,3.2086,39.788,0.01966,0.05176,0.19131,-0.00725,-0.00538,0.00275,-0.0118
17064,2012,12,13,11.428,7.3994,6.7907,9.6135,6.8171,5.0435,3.21,40.288,0.02209,0.00941,-0.01494,-0.0003,-0.00012,-0.0226,0.02181
17088,2012,12,14,11.831,7.3696,6.7157,9.615,6.7542,5.0177,3.2034,41.459,0.01905,0.03605,-0.14059,0.0008,0.00155,-0.02195,0.05225
17112,2012,12,15,11.75,7.2472,6.6688,9.4218,6.7386,5.0134,3.2005,42.083,0.01763,0.00141,-0.15559,-0.00337,-0.00162,0.02318,0.03487
17136,2012,12,16,11.709,7.1111,6.5629,9.2468,6.6755,5.0053,3.1952,42.42,0.01535,0.01596,-0.12965,0.00108,0.0026,0.05159,0.03145
17160,2012,12,17,11.652,7.0129,6.4728,9.1385,6.6517,4.9957,3.1882,43.141,0.00884,-0.05955,-0.12825,0.0052,0.0037,0.09088,0.02942
17184,2012,12,18,11.204,7.545,6.7035,10.048,6.9673,5.0012,3.1859,47.898,0.00404,-0.07407,-0.0119,-0.00273,0.00073,0.02091,-0.00012
17208,2012,12,19,11.056,7.6018,6.7536,10.122,7.0508,5.0075,3.1854,49.843,0.00846,0.02116,0.06559,-0.0011,-0.00309,0.07442,-0.01919
17232,2012,12,20,10.987,7.7548,6.868,10.342,7.1383,5.0128,3.1867,50.392,0.00902,0.10287,0.22247,-0.00181,0.00062,0.12526,-0.05433
17256,2012,12,21,10.911,7.8515,6.9206,10.512,7.1526,5.0084,3.1819,50.592,0.00599,0.11474,0.21167,0.0007,0.0019,0.11311,-0.03491
17280,2012,12,22,10.753,7.5599,6.8176,9.9714,7.0093,5.0093,3.1799,51.642,0.00415,0.08797,0.16274,0.00124,0.00071,0.09469,-0.03356
17304,2012,12,23,10.654,7.6087,6.8667,10.026,7.0267,5.0111,3.1786,52.537,0.00349,0.07782,0.16102,-0.00215,0.00029,0.06313,-0.02572
17328,2012,12,24,10.559,7.6205,6.9071,10.03,7.0432,5.0106,3.1764,53.139,0.00033,0.05961,0.10899,0.00367,0.0041,0.03693,-0.00841
17352,2012,12,25,10.475,7.5548,6.852,9.9481,6.9895,5.007,3.1734,53.619,-0.00514,0.05389,0.01042,0.00235,0.00128,0.05128,0.0037
17376,2012,12,26,10.749,7.7202,6.9878,10.177,7.1162,4.9954,3.1709,37.56,-0.00154,0.01494,0.02395,0.00268,0.00349,0.04372,-0.00603
17400,2012,12,27,10.669,7.6492,6.9287,10.084,7.0745,4.991,3.1672,38.688,-0.00773,-0.00377,-0.00957,0.00111,0.00272,-0.00291,0.00645
17424,2012,12,28,10.588,7.5912,6.8957,9.9961,7.0534,4.9905,3.1669,40.377,-0.00374,0.04058,-0.00667,-0.00145,-0.00059,0.02856,0.00091
17448,2012,12,29,10.538,7.5433,6.8505,9.9197,7.0128,4.9922,3.1684,40.779,-0.00334,0.03305,-0.01305,-0.00033,-0.00117,0.00807,0.00699
17472,2012,12,30,10.449,7.3235,6.7181,9.5613,6.8586,4.9799,3.1667,41.596,-0.00182,0.01322,-0.04899,-0.00403,0.00071,-0.01112,0.01477
17496,2012,12,31,10.404,7.2303,6.6229,9.4427,6.7869,4.9761,3.1658,42.282,-0.00196,0.01725,-0.07875,0.00079,-0.00155,-0.0012,0.02575
17520,2013,1,1,10.364,7.1873,6.5985,9.3666,6.7756,4.9777,3.1672,42.663,-0.00267,0.02501,-0.07146,-0.00394,-0.00291,-0.0012,0.01997
17544,2013,1,2,10.337,7.1885,6.592,9.3594,6.7727,4.9784,3.1676,43.483,6e-05,0.04761,-0.02147,-0.00401,-0.00141,0.00751,0.00176
17568,2013,1,3,10.323,7.0332,6.5411,9.0809,6.6816,4.9739,3.1684,47.76,-0.00019,0.06305,-0.00931,-0.0019,-0.00299,0.04704,-0.00538
17592,2013,1,4,10.285,7.0662,6.5531,9.1189,6.6871,4.9777,3.1699,48.164,0.00078,0.06726,0.03838,-0.00631,-0.00434,0.02973,-0.00744
17616,2013,1,5,10.246,7.1737,6.6882,9.2152,6.7835,4.9889,3.1764,48.277,0.00537,0.08668,0.14169,-0.00912,-0.00818,0.04251,-0.03426
17640,2013,1,6,10.202,7.2738,6.8153,9.2984,6.8586,4.999,3.1829,48.345,0.00962,0.07179,0.19364,-0.00527,-0.00558,0.03386,-0.02853
17664,2013,1,7,10.219,6.6751,6.4919,8.281,6.4961,5.0024,3.1849,52.564,0.00733,0.04159,0.10701,-0.00519,-0.00202,0.02721,-0.01551
17688,2013,1,8,10.21,6.6059,6.42,8.1988,6.4276,4.9988,3.1848,51.982,0.00733,0.0295,0.01871,-0.00139,-0.00305,0.07063,0.00195
17712,2013,1,9,10.188,6.5149,6.3252,8.1069,6.3656,4.9922,3.1817,50.928,0.00975,-0.02129,-0.04821,-0.00126,0.00036,0.0626,0.01284
17736,2013,1,10,10.106,6.4583,6.2757,8.0506,6.3489,4.9894,3.1807,50.628,0.00853,-0.07793,-0.08299,-0.00152,-0.00139,0.01022,0.03039
17760,2013,1,11,10.066,6.2492,6.1556,7.6939,6.2212,4.9881,3.1838,55.204,0.01094,-0.1004,-3e-05,-0.00615,-0.00585,-0.05805,0.00481
17784,2013,1,12,9.9689,6.2466,6.145,7.6707,6.2018,4.9944,3.1894,56.652,0.01753,-0.01278,0.00994,-0.00609,-0.00528,-0.03388,0.01135
17808,2013,1,13,9.8935,6.2355,6.1261,7.6546,6.1903,4.9948,3.1918,57.662,0.01492,0.00994,-0.00893,-0.0013,-0.00122,-0.01194,0.00498
17832,2013,1,14,9.8242,6.1677,6.0381,7.5786,6.1239,4.9898,3.1905,58.38,0.01658,-0.03848,-0.10945,0.00023,-0.00262,-0.02692,0.04211
17856,2013,1,15,9.9261,5.8571,5.8411,7.0819,5.9254,4.9764,3.1853,56.486,0.02064,-0.05803,-0.11855,-0.00631,8e-05,-0.04199,0.03373
17880,2013,1,16,9.858,5.8085,5.8003,7.0197,5.9124,4.9786,3.1877,57.146,0.01565,-0.0227,-0.0786,0.00091,-0.0039,-0.03656,0.03078
17904,2013,1,17,9.8166,5.7984,5.7891,7.001,5.9246,4.9833,3.1908,57.865,0.01958,-0.01314,-0.01189,-0.00779,-0.00557,-0.00259,0.0007
17928,2013,1,18,9.79,5.7854,5.7509,7.0064,5.8956,4.9802,3.1891,57.899,0.01867,-0.02499,-0.02367,0.00027,0.00016,-0.00321,0.00774
17952,2013,1,19,10.159,5.936,5.7795,7.3067,5.9693,4.982,3.1866,52.964,0.01236,-0.02237,-0.05942,-0.00086,0.00028,0.00317,0.01478
17976,2013,1,20,10.122,5.9288,5.7786,7.2952,5.9897,4.9828,3.1856,53.135,0.01192,-0.01738,0.00094,7e-05,-0.00118,0.0082,0.00493
18000,2013,1,21,10.09,5.9718,5.8147,7.3612,6.0239,4.986,3.1853,53.408,0.00943,-0.00896,0.07386,-0.00337,0.00023,0.00217,-0.02539
18024,2013,1,22,10.06,6.0487,5.8658,7.4731,6.0473,4.9913,3.1869,53.802,0.00647,0.02122,0.11852,0.00011,-0.00116,0.0136,-0.02669
18048,2013,1,23,9.8628,5.9242,5.8195,7.2449,5.9679,4.9946,3.1881,57.339,0.0089,0.03508,0.17259,-0.00224,-0.0004,0.01896,-0.04396
18072,2013,1,24,9.7991,6.0113,5.8828,7.346,5.9979,4.9989,3.1897,56.968,0.0064,0.02765,0.16095,-0.00178,0.00121,0.0273,-0.02045
18096,2013,1,25,9.7601,6.0904,5.946,7.4364,6.0332,5.0029,3.1919,56.645,0.00389,0.0245,0.14096,-0.00063,-0.00068,0.01939,-0.02473
18120,2013,1,26,9.7524,6.1448,5.9917,7.502,6.05,5.0054,3.194,56.12,0.00348,0.0179,0.10288,-0.00011,0.00204,0.04651,-0.01345
18144,2013,1,27,9.7742,5.9796,5.8936,7.2333,5.9364,5.0059,3.1941,57.484,0.00169,-0.04117,0.06594,-0.00143,0.00157,0.00649,-0.00726
18168,2013,1,28,9.7361,5.9799,5.898,7.2376,5.9329,5.0039,3.1941,57.925,0.00335,-0.06662,0.02146,0.00268,0.00191,-0.01304,0.00562
18192,2013,1,29,9.6996,5.9575,5.8858,7.2094,5.9232,5.0008,3.1934,58.245,-0.00083,-0.07721,-0.01853,6e-05,0.00451,-0.00848,0.01618
18216,2013,1,30,9.6701,5.9066,5.8446,7.152,5.8941,4.9952,3.1909,58.269,-0.00179,-0.0705,-0.07307,0.00295,0.00243,-0.00452,0.03072
18240,2013,1,31,9.7454,5.7654,5.7501,6.9184,5.8014,4.9805,3.1888,55.47,-0.00104,-0.06409,-0.06142,0.00233,0.00382,-0.01711,0.02181
18264,2013,2,1,9.7341,5.733,5.7332,6.87,5.7924,4.9772,3.1875,55.615,-0.00459,-0.03824,-0.05272,0.00011,0.00317,-0.0135,0.02333
18288,2013,2,2,9.7308,5.7461,5.7584,6.8763,5.8156,4.9818,3.1914,55.419,-0.00254,-0.02532,0.02202,-0.0016,-0.00122,-0.00782,-0.00485
18312,2013,2,3,9.7145,5.8024,5.7977,6.9492,5.8437,4.9849,3.194,55.377,0.00204,-0.0086,0.08332,-0.00067,0.00036,-0.00749,-0.02211
18336,2013,2,4,9.7616,5.9218,5.8175,7.2056,5.8676,4.9784,3.1934,53.764,0.00089,-0.00414,0.07008,0.00051,0.00471,0.01156,-0.01874
18360,2013,2,5,9.7398,5.9429,5.8303,7.2454,5.8782,4.9753,3.1914,54.423,-0.00227,-0.01258,0.0308,0.00219,0.00248,0.04392,-0.00746
18384,2013,2,6,9.7164,5.9646,5.8378,7.2954,5.8884,4.9748,3.19,55.27,-0.00182,-0.0096,0.03732,0.00028,0.0026,0.08216,-0.01526
18408,2013,2,7,9.6636,5.993,5.8377,7.3655,5.8979,4.9713,3.1878,55.592,-0.00325,-0.03305,0.03528,0.00061,0.00321,0.0681,-0.01443
18432,2013,2,8,9.5128,6.0813,5.8734,7.5085,5.9385,4.9517,3.186,51.292,0.00115,-0.04191,0.04177,6e-05,0.00107,-0.01158,-0.00538
18456,2013,2,9,9.4613,6.0805,5.8719,7.5229,5.9509,4.9499,3.1848,52.368,-0.00014,-0.05809,0.00983,0.00069,0.00248,-0.04593,0.00588
18480,2013,2,10,9.4131,6.0595,5.865,7.4886,5.9525,4.9486,3.1842,53.468,-0.0029,-0.06927,-0.00513,-0.00203,0.00065,-0.06645,0.01297
18504,2013,2,11,9.365,6.025,5.8469,7.434,5.9477,4.9475,3.1832,54.323,-0.0014,-0.06856,-0.02824,8e-05,0.00084,-0.06786,0.0191
18528,2013,2,12,9.4007,5.8926,5.805,7.2173,5.8966,4.9432,3.1842,52.284,-0.00282,-0.05775,-0.00803,-0.00308,0.00083,-0.05301,0.00504
18552,2013,2,13,9.3709,5.8872,5.8022,7.2128,5.8907,4.9417,3.1824,52.656,-0.00409,-0.04904,-0.00015,-0.00065,0.00021,-0.0123,0.00845
18576,2013,2,14,9.3512,5.888,5.8044,7.22,5.9035,4.9405,3.1811,52.856,-0.00519,-0.06321,0.00057,-0.00194,0.0006,-0.01844,0.00188
18600,2013,2,15,9.3404,5.8803,5.7983,7.221,5.9033,4.9385,3.1794,52.67,-0.00489,-0.06174,-0.00497,-0.0002,0.00139,-0.03755,0.00693
18624,2013,2,16,9.4235,4.9859,5.2097,5.662,5.3014,4.9173,3.1767,48.425,-0.00681,-0.09063,0.05757,-0.00494,-0.00141,-0.03886,-0.01225
18648,2013,2,17,9.4038,5.1101,5.2122,5.9207,5.3314,4.9178,3.177,48.837,-0.00672,-0.05631,0.15567,-0.0016,-0.0011,-0.03886,-0.03649
18672,2013,2,18,9.3421,5.2354,5.2999,6.1577,5.4142,4.916,3.1745,49.833,-0.00732,-0.0804,0.09553,-0.00314,0.001,-0.01544,-0.02762
18696,2013,2,19,9.2643,5.3073,5.3427,6.2681,5.4521,4.9147,3.1735,50.858,-0.00875,-0.06386,0.09927,-0.00055,-0.00131,-0.01052,-0.01951
18720,2013,2,20,9.2752,5.1367,5.1729,6.0606,5.3166,4.9112,3.173,49.334,-0.00586,-0.07393,0.15411,-0.00685,-0.00126,-0.01222,-0.04169
18744,2013,2,21,9.2156,5.2349,5.1991,6.2238,5.3446,4.9117,3.1741,50.313,-0.00716,-0.04789,0.15119,0.0001,-0.00052,0.00121,-0.02642
18768,2013,2,22,9.1848,5.2978,5.2153,6.3445,5.3602,4.9089,3.1733,50.879,-0.00577,-0.06727,0.11929,-0.00241,-0.00059,0.04028,-0.0314
18792,2013,2,23,9.1536,5.3317,5.2411,6.4117,5.3809,4.9078,3.1743,51.069,-0.00859,-0.07775,0.0833,-0.00189,-0.00044,0.03018,-0.01463
18816,2013,2,24,9.218,5.0347,5.0607,5.9497,5.1995,4.9164,3.1773,60.445,-0.00194,-0.07634,0.08374,-0.0051,-0.00378,0.01296,-0.0192
18840,2013,2,25,9.1878,5.0732,5.0776,6.0122,5.2133,4.9165,3.1801,61.373,1e-05,-0.04212,0.10016,-0.0028,-0.00088,0.01932,-0.0181
18864,2013,2,26,9.1652,5.0919,5.0899,6.0527,5.2184,4.9154,3.1819,61.545,-0.00205,-0.05532,0.05634,0.00099,-0.00115,0.02905,-0.01123
18888,2013,2,27,9.1305,5.0871,5.1009,6.0466,5.2271,4.9118,3.1817,61.812,0.00173,-0.04168,0.01827,-0.00291,0.00025,0.01998,0.00277
18912,2013,2,28,9.1278,5.1741,5.1456,6.1773,5.2686,4.9123,3.1817,66.642,0.00292,-0.02403,0.03268,-0.00104,-0.00095,0.03931,-0.00917
18936,2013,3,1,9.1833,5.215,5.1564,6.2663,5.2811,4.9112,3.1822,66.62,0.00543,-0.01359,0.05006,-0.00068,-0.00092,0.07041,-0.0155
18960,2013,3,2,9.2301,5.2653,5.1782,6.3589,5.3031,4.9092,3.181,65.47,0.00084,-0.04048,0.06854,-0.00168,0.0016,0.03788,-0.02025
18984,2013,3,3,9.2174,5.3074,5.1924,6.4434,5.3173,4.9075,3.1806,64.786,0.00161,-0.06338,0.06594,-0.0002,-0.00111,-0.01909,-0.01157
19008,2013,3,4,9.3486,5.4296,5.2491,6.7084,5.3761,4.9173,3.1789,69.31,0.00113,-0.05028,0.04448,0.00062,0.00344,-0.0391,-0.00884
19032,2013,3,5,9.2889,5.4524,5.2765,6.7243,5.4013,4.9177,3.1798,71.351,0.00059,-0.00615,0.06298,-0.00358,-0.00243,0.00498,-0.00771
19056,2013,3,6,9.2774,5.5416,5.3428,6.8516,5.4604,4.9201,3.1811,70.689,-0.00026,0.0011,0.14938,-0.00074,0.00135,0.04592,-0.03997
19080,2013,3,7,9.251,5.6452,5.4003,7.0254,5.5057,4.9193,3.1818,69.784,-0.00283,-0.02496,0.16677,-0.00023,-0.00048,0.02192,-0.03644
19104,2013,3,8,9.3164,5.5754,5.385,6.906,5.4729,4.9188,3.1793,68.137,-0.00013,-0.04298,0.11206,-0.00167,0.00399,-0.02011,-0.01933
19128,2013,3,9,9.2976,5.5959,5.402,6.9441,5.4801,4.9152,3.1778,68.73,-0.00489,-0.03236,0.06634,0.00338,0.001,-0.02701,-0.00528
